ARHU 101,The Art of Interpretation: Written Texts
ARHU 102,The Art of Interpretation: Images and Sound
BEHAVSCI 101,Introduction to Behavioral Science
BEHAVSCI 102,Mechanisms of Human Behavior
BEHAVSCI 201,Individuals and Their Decisions
BEHAVSCI 202,"Institutions, Groups, and Society"
BEHAVSCI 203,Comparative Analysis of Behavior
BEHAVSCI 205,Systems and Circuits
BEHAVSCI 301,Computational Neuroscience
BEHAVSCI 401,Moving Beyond Nudges
BEHAVSCI 402,Judgement and Decision Making
BIOL 110,Integrated Science - Biology
BIOL 201,Cell and Molecular Biology
BIOL 202,Genetics and Evolution
BIOL 203,"Molecular, Behavioral and Social Evolution: Darwin's Theories Between Science and Culture"
BIOL 208,General Ecology
BIOL 212,Microbiology
BIOL 304,Molecular Genetic Analysis
BIOL 305,Introduction to Biochemistry
BIOL 306,Cell Signaling and Diseases
BIOL 307,Cancer Genetics
BIOL 308,Evolution of Infectious Diseases
BIOL 310,Developmental Biology
BIOL 311,Biogeochemistry
BIOL 312,Ecophysiology
BIOL 313,Ecosystem Service
BIOL 314,Computational Biology and Bioinformatics
BIOL 315,Experimental Molecular Biology
BIOL 316,Quantitative Physiology
BIOL 317,Systems Biology
BIOL 318,Food Web Ecology
BIOL 319,Global Change Biology
BIOL 320,Bioethics
BIOL 403,Experimental Methods in Functional Genomics
BIOL 404,Genomics of Adaptation
BIOL 405,Microbial Ecology
BIOL 407,Population Genomics and Molecular Evolution
CAPSTONE 495,Signature Work Capstone I
CAPSTONE 496,Signature Work Capstone II
CHEM 110,Integrated Science - Chemistry
CHEM 150,General Chemistry II
CHEM 201,Organic Chemistry I
CHEM 202,Organic Chemistry II
CHEM 210,General Chemistry II
CHEM 301,Elements of Physical Chemistry
CHEM 315,Aqueous Geochemistry
CHEM 401,Analytical Chemistry
CHEM 402,Inorganic Chemistry
CHEM 403,Advanced Topics in Physical Chemistry
CHEM 410,Introduction to Materials Chemistry
CHINESE 101A,Beginning Chinese 1 - A
CHINESE 101B,Beginning Chinese 1 - B
CHINESE 102A,Beginning Chinese 2 - A
CHINESE 102B,Beginning Chinese 2 - B
CHINESE 201A,Intermediate Chinese 1 - A
CHINESE 201B,Intermediate Chinese 1 - B
CHINESE 202A,Intermediate Chinese 2 - A
CHINESE 202B,Intermediate Chinese 2 - B
CHINESE 231A,Second Year Chinese for Heritage Learners 1 - A
CHINESE 231B,Second Year Chinese for Heritage Learners 1 - B
CHINESE 232A,Second Year Chinese for Heritage Learners 2 - A
CHINESE 232B,Second Year Chinese for Heritage Learners 2 - B
CHINESE 301A,Advanced Intermediate Chinese 1 - A
CHINESE 301B,Advanced Intermediate Chinese 1 - B
CHINESE 302A,Advanced Intermediate Chinese 2 - A
CHINESE 302B,Advanced Intermediate Chinese 2 - B
CHINESE 401A,Advanced Chinese - Issues in Modern China 1 - A
CHINESE 401B,Advanced Chinese - Issues in Modern China 1 - B
CHINESE 402A,Advanced Chinese - Issues in Modern China 2 - A
CHINESE 402B,Advanced Chinese - Issues in Modern China 2 - B
CHINESE 406,Debating Issues in Contemporary China
CHINESE 408,Translation Workshop – Chinese/English English/Chinese
CHINESE 409,Chinese Book Club
CHINESE 410,Public Speaking in Chinese
CHINESE 411,Professional Networking in China
CHINESE 412,Chinese Across the Curriculum: Independent Research
CHINESE 413,Advanced Chinese – New Media Narratives
CHINESE 414,Reading Chinese Love Stories in Novels and Memoirs
CHINESE 415,Watching Forbidden Love in Chinese Films
CHINESE 417,Li Yu and Seventeenth-Century Chinese Pop Culture
CHSC 103,Selected Readings of Chinese Classics
CHSC 104,Trends and Policies
CHSC 107,An Introduction to Chinese Culture
COMPSCI 101,Introduction to Computer Science
COMPSCI 201,Introduction to Programming and Data Structures
COMPSCI 203,Discrete Math for Computer Science
COMPSCI 205,Computer Organization and Programming
COMPSCI 206,Computational Microeconomics
COMPSCI 207,Image Data Science
COMPSCI 301,Algorithms and Databases
COMPSCI 302,Computer Vision
COMPSCI 304,Speech Recognition
COMPSCI 306,Introduction to Operating Systems
COMPSCI 308,Design and Analysis of Algorithms
COMPSCI 309,Elements of Machine Learning
COMPSCI 311,Computer Network Architecture
COMPSCI 320,Software Reliability
COMPSCI 401,Cloud Computing
COMPSCI 402,Artificial Intelligence
CULANTH 101,Introduction to Cultural Anthropology
CULANTH 201,New Media and Society
CULANTH 202,Culture and Industry
CULANTH 205,"Food, Ethnicity and Globalization"
CULANTH 206,The Ethnography of China: New Directions
CULANTH 207,Cultures of New Media
CULANTH 208,Global Migration and Ethics
CULANTH 211,"Gender, Mobility and Labor"
CULANTH 214,Authoritarianism and the struggle for democracy in Latin America
CULANTH 302,Field Methods
CULANTH 304,The Anthropology of Doing Good: China and Beyond
CULANTH 306,"Borders, Boundaries and Ethnic Peoples in China"
CULANTH 314,Refugees and the Biopolitics of Citizenship
CULANTH 315,Why Be a Bandit?
CULANTH 405,Medical Anthropology
CULMOVE 101,Cultures of Globalization
CULMOVE 115,Displacement and Identity: Stories of Diasporic Migration in China and the World
CULMOVE 201,"Migration, Inequality and Culture"
CULMOVE 202,Culture and Social Movements
CULMOVE 203,"Wealth, Inequality and Power"
CULMOVE 206,Ethnic and Religious Diversity in the Middle East
CULMOVE 301,Social Science Perspectives on China: From the Socialist Past to the Global Present
CULMOVE 302,Culture and Social Movements
CULMOVE 390,Junior Seminar: Advanced Topics
CULMOVE 490,Senior Seminar: Advanced Topics
DKU 101,Succeeding in a Liberal Arts and Science College
EAP 101A,Writing about Language Learning - A
EAP 101B,Writing about Language Learning - B
EAP 102A,Writing about Culture Learning - A
EAP 102B,Writing about Culture Learning - B
EAP 110,Presenting Ideas to Global Audiences
ECON 101,Economics Principles
ECON 106,Sustainable Investing
ECON 201,Intermediate Microeconomics I
ECON 202,Intermediate Microeconomics II
ECON 203,Introduction to Econometrics
ECON 204,Intermediate Macroeconomics
ECON 206,Computational Microeconomics
ECON 207,Survey of Economic Policy
ECON 211,Intelligent Economics: An Explainable AI approach
ECON 212,Comparative Economic History
ECON 301,Health Economics
ECON 302,Environmental Economics  Policy
ECON 303,Financial Institutions
ECON 305,Mathematical Economics
ECON 309,Behavioral Finance
ECON 310,Urban Economics
ECON 314,International Trade
ECON 315,Economics of the Public Sector
ECON 317,Quantitative Finance
ECON 333,Social and Economic Networks
ECON 404,"Environmental Justice: The Economics of Race, Place and Pollution"
ECON 405,Game Theory
ENVIR 101,Introduction to Environmental Sciences
ENVIR 102,Dynamic Earth and Oceans: Physical and Biological Sciences for the Environment
ENVIR 201,Applied Environmental Science and Policy
ENVIR 202,Biodiversity and Conservation
ENVIR 203,The Theory and Practice of Sustainability
ENVIR 206,Energy and the Environment
ENVIR 208,Environmental Data Analytics
ENVIR 301,International Environmental Policy
ENVIR 302,Environmental Economics  Policy
ENVIR 303,Climate Change and Society in China
ENVIR 304,Environmental Chemistry and Toxicology
ENVIR 305,Environment and Development Economics in Developing Countries
ENVIR 306,Water Pollution
ENVIR 311,Biogeochemistry
ENVIR 313,Ecosystem Service
ENVIR 315,Aqueous Geochemistry
ENVIR 402,Chemical Transformation of Environmental Contaminants
ENVIR 403,Energy Economics and Policy
ENVIR 404,"Environmental Justice: The Economics of Race, Place and Pollution"
ETHLDR 101,Ethics and Leadership
ETHLDR 108,"Democracy and Inclusion: Hopes, Prospects, Dilemmas"
ETHLDR 201,"Ethics, Citizenship and the Examined Life"
ETHLDR 202,"Ethics, Markets, and Politics"
ETHLDR 203,Conceptions of Democracy and Meritocracy
ETHLDR 204,Environmental Ethics
ETHLDR 205,Trust and Cross-Cultural Leadership
ETHLDR 206,Global Justice and Health Care
ETHLDR 209,The Psychology of Justice
ETHLDR 301,Ethics of Nudging
ETHLDR 302,The Sociology of Morality and Politics
ETHLDR 390,Junior Seminar: Advanced Topics
ETHLDR 490,Senior Seminar: Advanced Topics
FRENCH 101,Beginning French
FRENCH 102,Beginning French 2
GCHINA 101,China in the World
GCHINA 201,From Empire to Nation
GCHINA 202,Modern Chinese Politics
GCHINA 203,Visual China
GCHINA 301,China’s Economic Transition
GCHINA 302,The Factory: From Socialist Industrialism to World Assembly
GCHINA 390,Junior Seminar: Advanced Topics
GCHINA 401,Political Economy of the Chinese Reform
GCHINA 490,Senior Seminar: Advanced Topics
GCULS 105,Critical Comparative Studies
GCULS 106,Our Cities and Our Selves
GCULS 107,"Berlin-Paris: Sex, Cigarettes, and the Meaning of Life"
GCULS 108,"Science, Culture, and Politics"
GCULS 201,Culture and Industry
GCULS 202,Empires and Culture
GCULS 302,Gender and Globality
GCULS 304,Chinese Culture and Ideology in the 20th Century and Now
GCULS 390,Junior Seminar: Advanced Topics
GCULS 401,"Games and Culture: Politics, Pleasure and Pedagogy"
GCULS 405,The Curatorial: Theory and Practice
GCULS 490,Senior Seminar: Advanced Topics
GERMAN 101,Beginning German 1
GERMAN 102,Beginning German 2
GLHLTH 101,Introduction to Global Health
GLHLTH 105,Novel Coronavirus: Epidemics and Response in the Age of Global Interdependence
GLHLTH 110,Ecosystem Health and Human Well-Being
GLHLTH 201,Global Health Ethics
GLHLTH 202,Media and Health Communication
GLHLTH 203,Global Disease Control Programs and Policies
GLHLTH 205,Social Determinants of Health
GLHLTH 280,Ecosystem Health and Human Well-Being
GLHLTH 293,Research Independent Study in Global Health
GLHLTH 301,Global Health Research Methods
GLHLTH 302,Social Determinants of Health
GLHLTH 303,Global Comparative Health Care Systems
GLHLTH 304,Global Health Governance and Policy
GLHLTH 305,Biological Basis of Disease
GLHLTH 306,Evolution of Health and Disease
GLHLTH 307,Global Mental Health
GLHLTH 310,Global Disease Control Programs and Policies
GLHLTH 311,Introduction to Epidemiology
GLOCHALL 201,"Global Challenges in Science, Technology and Health"
HIST 101,Ancient Chinese History
HIST 102,Medieval Chinese History
HIST 103,Premodern Chinese History
HIST 104,American History to 1876
HIST 105,American History from Reconstruction to the Present
HIST 106,Art History 1
HIST 107,Gandhi and Moral Leadership
HIST 110,Historical Perspectives on Contemporary Global Issues
HIST 111,Ancient Roots to Global Routes
HIST 114,Conflicts and Resolutions in Modern South Asia
HIST 116,Mughal India Through the Eyes of European Travelers
HIST 117,Sounds and the Chinese City: Live Music Scenes in Urban China
HIST 118,The American Empire
HIST 119,The Birth of the Modern Middle East (1918-1930)
HIST 121,Pan-Africanism: Global Story of an Idea
HIST 122,World History in Seven Meals
HIST 201,Methods of Historical Research
HIST 202,Global Interactions in Historical Perspective
HIST 204,Asia in World History
HIST 205,Shanghai: From Treaty Port to Global Metropolis
HIST 206,World History in Seven Meals
HIST 207,History of Media Art
HIST 208,America Fractured
HIST 209,Refugees and War since 1914
HIST 210,Global Art History
HIST 217,Ancient and Imperial Chinese Art
HIST 218,Premodern East Asian Female Art
HIST 220,Global Media History
HIST 301,China in Global Perspective 1: China and the Silk Roads World: 500-1500
HIST 302,China in Global Perspective 2: The Internationalization of Modern China
HIST 306,The United States and China in War and Revolution
HIST 314,Writing the History of War
HIST 315,Why Be a Bandit?
HIST 317,The Global First World War
INDSTU 391,Independent Study
INFOSCI 102,Computation and Problem Solving
INFOSCI 103,"Computation, Society  Culture"
INFOSCI 104,Digital Design
INFOSCI 112,"Googlization of Knowledge: Information, Ethics, and Technology"
INFOSCI 113,"Googlization of Knowledge: Information, Ethics, and Technology"
INFOSCI 201,Interaction  Physical Computing
INFOSCI 202,3D Modeling and Animation
INFOSCI 206,Urban Data Visualization and Communication Methods
INFOSCI 301,Data Visualization and Information Aesthetics
INFOSCI 302,Introduction to Geographical Information Science
INFOSCI 309,Speculative and Critical Design
INSTGOV 490,Senior Seminar: Advanced Topics
ITALIAN 101,Beginning Italian 1
ITALIAN 102,Beginning Italian 2
JAPANESE 101,Beginning Japanese 1
JAPANESE 102,Beginning Japanese 2
JAPANESE 201,Intermediate Japanese 1
JAPANESE 202,Intermediate Japanese 2
KOREAN 101,Beginning Korean 1
KOREAN 102,Beginning Korean 2
LIT 102,Introduction to Literary Theory Writ Large
LIT 104,The American Romance of Self-Making
LIT 105,The Epic of America (the Novel)
LIT 106,American Otherness and Otherness in America
LIT 107,From Data to Narrative: A Workshop in Non-fiction Writing
LIT 109,Writing Stories for Children
LIT 201,Asian-American Arts and Letters
LIT 203,Reading Empire
LIT 205,American Lyric Across Borders (Poetry)
LIT 208,From Cool Japan to the Korean Wave: Popular Culture from East Asia
LIT 209,Critical Inter-Asia: Rethinking Local and Global Connections
LIT 210,Robots and Monsters: Unruly Human Creations in World Literature
LIT 214,Introduction to Literary Theory Writ Large
LIT 216,Introduction to Creative Writing
LIT 217,Li Yu and Seventeenth-Century Chinese Pop Culture
LIT 219,Translation for Kunqu: Martial Repertoire
LIT 308,American Icons
LIT 309,What('s) the fuss? The Art and Power of Banned Literature
LIT 310,Translation for Kunqu: Literary Repertoire
LIT 311,Poetry in Conversation
MATH 101,Introductory Calculus
MATH 105,Calculus
MATH 201,Multivariable Calculus
MATH 202,Linear Algebra
MATH 203,Advanced Calculus
MATH 205,Probability and Statistics
MATH 206,Probability and Statistics
MATH 301,Advanced Introduction to Probability
MATH 302,Numerical Analysis
MATH 303,ODE and Dynamical Systems
MATH 304,Numerical Analysis and Optimization
MATH 305,Advanced Linear Algebra
MATH 306,Number Theory
MATH 307,Complex Variable
MATH 308,Real Analysis
MATH 317,Quantitative Finance
MATH 401,Abstract Algebra
MATH 403,Partial Differential Equations
MATH 404,Stochastic Modeling  Computing
MATH 405,Mathematics of Data Analysis and Machine Learning
MATH 406,Mathematical Modeling
MATH 408,Differential Geometry
MATH 409,Topology
MATH 410,Modeling Biological Systems
MATH 450,Measure and Integration
MATSCI 201,Fundamentals of Material Sciences
MATSCI 301,Materials Synthesis and Characterization (Lab)
MATSCI 302,"Electronic, Optical and Magnetic Properties of Materials"
MATSCI 401,Mechanical Properties of Materials
MATSCI 402,Introduction to Nanoscale Functional Materials
MATSCI 404,Polymers and Biomaterials
MATSCI 405,Bio-Inspired Smart Materials
MEDIART 101,Introduction to Media Studies and the Arts
MEDIART 103,Introduction to Moving Image Practice
MEDIART 104,Introduction to Photography
MEDIART 105,Introduction to Film Studies
MEDIART 108,Love and Dreams on the Chinese Stage
MEDIART 109,Introduction to Visual Culture
MEDIART 110,Audio Documentary  Storytelling
MEDIART 111,Archive
MEDIART 112,Race on Film
MEDIART 113,Exploring Music
MEDIART 114,Film Musicals and Musical Films
MEDIART 115,Introduction to Music Theory
MEDIART 202,"Ideas, Imagination and Creativity"
MEDIART 204,The Photographic Essay
MEDIART 205,Digital Imaging
MEDIART 206,Computer Graphics
MEDIART 207,Creative Writing and Elements of Story
MEDIART 208,Comparative Media Systems and Chinese Mass Media
MEDIART 209,Introduction to Visual Culture
MEDIART 210,Media and Arts Practicum
MEDIART 211,"Media, Arts and Critical Theory"
MEDIART 212,Editing for Film and Video
MEDIART 215,Documenting City Life
MEDIART 216,"Performance, Embodiment and Cultural Memory"
MEDIART 217,Ancient and Imperial Chinese Art
MEDIART 218,Music and Cinema
MEDIART 221,Introduction to Composition
MEDIART 301,Experimental Filmmaking
MEDIART 302,Contemporary Documentary Film
MEDIART 303,Documentary Photography and the Cultural Landscape
MEDIART 305,Producing Docu-Fiction
MEDIART 306,Foundations of Interactive Game Design
MEDIART 307,International Communication
MEDIART 310,Screenwriting
MEDIART 313,Sports Documentary
MEDIART 390,Junior Seminar: Advanced Topics
MEDIART 405,The Curatorial: Theory and Practice
MEDIART 490,Senior Seminar: Advanced Topics
MINITERM 101,Exploratory Mini-Term
MINITERM 102,Signature Mini-term
MUSIC 115,Chorale
MUSIC 210,Chamber Ensemble
NEUROSCI 102,Biological Basis of Behavior
NEUROSCI 202,Medical Neuroscience
NEUROSCI 212,Cognitive Neuroscience
NEUROSCI 301,Research Methods in Neuroscience
PHIL 101,Introduction to Western Philosophy
PHIL 102,Introduction to Classical Chinese Philosophy
PHIL 103,Chinese and Mediterranean Philosophy
PHIL 105,History of Modern European Philosophy
PHIL 109,Philosophy Through Computer Science
PHIL 111,Non-Human Animal Ethics
PHIL 112,Thinking and Doing
PHIL 204,Theory of Knowledge
PHIL 205,Logic
PHYS 101,Frontiers of 21st Century Physics
PHYS 105,The Science of Asian Sound
PHYS 121,Integrated Science - Physics
PHYS 122,"General Physics II: Electricity, Magnetism and Light"
PHYS 134,Introductory Astronomy
PHYS 201,Optics and Modern Physics
PHYS 301,Classical Mechanics
PHYS 302,Thermal and Statistical Physics
PHYS 303,Introduction to Biophysics
PHYS 304,Electricity and Magnetism
PHYS 306,Quantum Mechanics
PHYS 310,Physics of Particulate Materials
PHYS 401,Quantum Mechanics
PHYS 402,Solid State and Soft Matter Physics
PHYS 403,Introduction to Nuclear and Particle Physics
PHYS 404,Nonlinear Dynamics
PHYS 405,Advanced Physics Laboratory and Seminar
PHYS 406,Advanced Biophysics
PHYSEDU 101,Basketball
PHYSEDU 102,Softball
PHYSEDU 103,Volleyball
PHYSEDU 104,Fencing
PHYSEDU 105,Soccer
PHYSEDU 106,Badminton
PHYSEDU 107,Table Tennis
PHYSEDU 108,Tennis
PHYSEDU 109,6 - Tai Chi Sword
PHYSEDU 110,4 - Pilates (advanced)
PHYSEDU 111,4 - Yoga (advanced)
PHYSEDU 112,Body Combat Fitness
PHYSEDU 113,Body Step Aerobics
PHYSEDU 114,Jogging/Walking
PHYSEDU 115,8 - Mixed Martial Arts - Judo
PHYSEDU 116,2 - Stick Yoga - Advanced
PHYSEDU 118,3 - Taekwondo
PHYSEDU 120,2 - Weight Training - Advanced
PHYSEDU 121,2 - IFAW - Good Morning Fitness
PHYSEDU 123,Kendo
PHYSEDU 125,KunQu
PHYSEDU 126,Ultimate Frisbee
PHYSEDU 128,Sports Dance
PHYSEDU 129,Sailing
POLECON 105,China and the Global South
POLECON 201,International Political Economy
POLECON 211,Risk Analysis and Forecasting
POLECON 301,International Development
POLECON 302,China’s Economic Transition
POLECON 401,Political Economy of the Chinese Reform
POLECON 490,Senior Seminar: Advanced Topics
POLSCI 101,International Politics
POLSCI 103,American Ideas and the Idea of America
POLSCI 104,Comparative Politics and Institutions
POLSCI 106,"Political Rhetoric, Crisis, and Leadership"
POLSCI 107,Political Psychology
POLSCI 108,Are We Political Animals? Introduction to Political Philosophy
POLSCI 201,Political Institutions and Processes
POLSCI 204,The U.S. Constitution and its Critics
POLSCI 205,American Ideas and Global Receptions
POLSCI 207,Democratic Institutions in America
POLSCI 209,Democratic Erosion
POLSCI 214,Authoritarianism and the struggle for democracy in Latin America
POLSCI 219,"The U.S. Legal System: Lawyers, Judges, Lawmakers,  Bureaucrats"
POLSCI 221,US/China Relations
POLSCI 301,Program Evaluation
POLSCI 302,Public Opinion
POLSCI 303,International Politics of East Asia
POLSCI 307,Political Economy of Institutions
POLSCI 308,Global Governance
POLSCI 309,Networks in Globalizing World
POLSCI 311,The Political and Social Thought of Hannah Arendt
POLSCI 312,Islamic Political Thought
POLSCI 313,Political Psychology
POLSCI 314,Refugees and the Biopolitics of Citizenship
POLSCI 315,American Politics in Comparative Perspective
PSYCH 101,Introductory Psychology
PSYCH 102,Cognitive Psychology
PSYCH 103,Developmental Psychology
PSYCH 104,Social Psychology
PSYCH 105,Abnormal Psychology
PSYCH 202,Cognitive Psychology
PSYCH 203,Developmental Psychology
PSYCH 204,Social Psychology
PSYCH 205,Abnormal Psychology
PSYCH 304,Quantitative Research Methods and Statistics for Psychological Science
PUBPOL 101,Introduction to Policy Analysis
PUBPOL 106,Urbanizing China: Spatial and Social Dynamics in Chinese Cities
PUBPOL 201,Climate Change Law and Policy
PUBPOL 205,Microeconomic Policy Tools
PUBPOL 209,The Politics of Environmental Crises
PUBPOL 213,Authoritarian Regimes
PUBPOL 219,"The U.S. Legal System: Lawyers, Judges, Lawmakers,  Bureaucrats"
PUBPOL 220,Introduction to Regulatory Governance
PUBPOL 221,Comparative Social Policy
PUBPOL 301,Political Analysis for Public Policy
PUBPOL 303,Policy Choice as Value Conflict
PUBPOL 304,Microeconomic Policy Tools
PUBPOL 309,"Education, Policy, and Society"
PUBPOL 311,Economic and Political History of the European Union
PUBPOL 315,Economics of the Public Sector
PUBPOL 317,Plastic Planet: Pollution and Solutions
PUBPOL 318,How to Change the World: The Role of Non-State Actors
RELIG 101,Comparative Religious Studies
RELIG 106,Religion and Leadership
RELIG 107,Readings in Religious Literature
RELIG 201,"Confucianism, Daoism and Buddhism"
RELIG 202,Modern Buddhism
RELIG 203,"Judaism, Christianity, and Islam"
RELIG 204,The Problem of Evil
RELIG 302,Religious and Philosophical Thought on the Environment
RINDSTU 393,Research Independent Study
SOCIOL 101,Introduction to Sociology
SOCIOL 104,"Love, Marriage, and Family in Comparative Perspective"
SOCIOL 105,Theory and Society
SOCIOL 110,Sociological Inquiry
SOCIOL 111,Contemporary Social Problems
SOCIOL 180,"Society, the Self, and the Changing Natural World"
SOCIOL 202,Sociology of Culture
SOCIOL 204,"Identity, Action, and Emotion"
SOCIOL 206,Reshaping Global Urbanization
SOCIOL 212,Contemporary Social Problems
SOCIOL 305,Theory and Society
SOCIOL 306,Contemp Population Problems
SOSC 101,Foundational Questions in Social Science
SOSC 102,Introduction to Research Methods
SOSC 110,Innovation and Creativity
SOSC 309,"Education, Policy, and Society"
SOSC 314,Computational Social Science: Tools to Collect  Analyze Human Behavior Using Data from the Internet
SOSC 315,Urban Sociology
SOSC 320,Data in the World: Applied Social Statistics
SOSC 333,Social and Economic Networks
SOSC 405,The Future of the City
SPANISH 101,Beginning Spanish 1
SPANISH 102,Beginning Spanish 2
SPANISH 110,Introduction to the World of Spanish
STATS 101,Introduction to Applied Statistical Methods
STATS 102,Introduction to Data Science
STATS 201,Introduction to Machine Learning for Social Science
STATS 210,"Probability, Random Variables and Stochastic Processes"
STATS 301,Statistics
STATS 302,Principles of Machine Learning
STATS 303,Statistical Machine Learning
STATS 304,Bayesian and Modern Statistics
STATS 305,Study Design: Design of Surveys and Causal Studies
STATS 401,Data Acquisition and Visualization
STATS 402,Interdisciplinary Data Analysis
STATS 403,Deep Learning
TLANG 192,Independent Study in Third Language 2
USTUD 390,Junior Seminar: Advanced Topics
USTUD 490,Senior Seminar: Advanced Topics
WOC 104,Introduction to University Writing for International Students
WOC 106,Introducing Suzhou to the World: Oral Communication across Cultural Boundaries
WOC 107,Reading Suzhou Through Literature and History
WOC 110,Should We Care About Endangered Languages
WOC 190,Special Topics in Writing
WOC 201,Academic Writing 1: Argumentation Across Disciplines
WOC 206,Debating Scenarios for Sustainable Futures
WOC 207,Translation Workshop – Chinese/English English/Chinese
WOC 208,An Introduction to Language Teaching
WOC 211,Composing Research 1: Developing a Research Proposal
WOC 212,Composing Research 2: Developing a Research Paper
WOC 213,From Text to World: Editing and Publishing
WOC 214,Reading Chinese Love Stories in Novels and Memoirs
WOC 215,Watching Forbidden Love in Chinese Films
WOC 290,Special Topics: Writing Across Cultures
